#    L    TT             EE             BB             TE          
     2    0.15782E+04    0.67631E-01    0.24396E-01    0.36909E+01
     3    0.14119E+04    0.10575E+00    0.28253E-01    0.38417E+01
     4    0.13206E+04    0.11861E+00    0.27860E-01    0.37448E+01
     5    0.12589E+04    0.10695E+00    0.24591E-01    0.33993E+01
     6    0.12167E+04    0.81645E-01    0.19983E-01    0.29326E+01
     7    0.11888E+04    0.54605E-01    0.15279E-01    0.24332E+01
     8    0.11709E+04    0.33535E-01    0.11245E-01    0.19601E+01
     9    0.11604E+04    0.20717E-01    0.82096E-02    0.15508E+01
    10    0.11555E+04    0.14681E-01    0.62003E-02    0.12271E+01
    11    0.11544E+04    0.12571E-01    0.50836E-02    0.99441E+00
    12    0.11567E+04    0.12011E-01    0.46665E-02    0.85196E+00
    13    0.11608E+04    0.11704E-01    0.47524E-02    0.78552E+00
    14    0.11660E+04    0.11480E-01    0.51619E-02    0.77565E+00
    15    0.11729E+04    0.11523E-01    0.57800E-02    0.80272E+00
    16    0.11819E+04    0.12012E-01    0.65180E-02    0.84848E+00
    17    0.11926E+04    0.12977E-01    0.73293E-02    0.89737E+00
    18    0.12036E+04    0.14210E-01    0.81830E-02    0.93848E+00
    19    0.12157E+04    0.15559E-01    0.90678E-02    0.97007E+00
    20    0.12274E+04    0.16969E-01    0.99782E-02    0.98973E+00
    21    0.12390E+04    0.18446E-01    0.10912E-01    0.99751E+00
    22    0.12510E+04    0.20096E-01    0.11867E-01    0.99396E+00
    23    0.12631E+04    0.22013E-01    0.12842E-01    0.98386E+00
    24    0.12754E+04    0.24233E-01    0.13835E-01    0.97227E+00
    25    0.12878E+04    0.26751E-01    0.14844E-01    0.96105E+00
    26    0.13003E+04    0.29517E-01    0.15864E-01    0.95226E+00
    27    0.13129E+04    0.32508E-01    0.16898E-01    0.94472E+00
    28    0.13257E+04    0.35730E-01    0.17947E-01    0.93732E+00
    29    0.13386E+04    0.39169E-01    0.19009E-01    0.92731E+00
    30    0.13516E+04    0.42819E-01    0.20085E-01    0.91038E+00
    31    0.13646E+04    0.46689E-01    0.21171E-01    0.88421E+00
    32    0.13777E+04    0.50776E-01    0.22267E-01    0.84732E+00
    33    0.13911E+04    0.55067E-01    0.23371E-01    0.80007E+00
    34    0.14045E+04    0.59558E-01    0.24483E-01    0.74342E+00
    35    0.14180E+04    0.64250E-01    0.25599E-01    0.67584E+00
    36    0.14314E+04    0.69159E-01    0.26718E-01    0.59489E+00
    37    0.14449E+04    0.74329E-01    0.27840E-01    0.50065E+00
    38    0.14586E+04    0.79799E-01    0.28968E-01    0.39576E+00
    39    0.14726E+04    0.85556E-01    0.30098E-01    0.28192E+00
    40    0.14867E+04    0.91577E-01    0.31228E-01    0.16038E+00
    41    0.15008E+04    0.97848E-01    0.32353E-01    0.31731E-01
    42    0.15149E+04    0.10438E+00    0.33473E-01   -0.10520E+00
    43    0.15290E+04    0.11120E+00    0.34586E-01   -0.25200E+00
    44    0.15431E+04    0.11831E+00    0.35692E-01   -0.40938E+00
    45    0.15574E+04    0.12571E+00    0.36790E-01   -0.57796E+00
    46    0.15720E+04    0.13343E+00    0.37877E-01   -0.76008E+00
    47    0.15866E+04    0.14144E+00    0.38954E-01   -0.95502E+00
    48    0.16012E+04    0.14973E+00    0.40018E-01   -0.11586E+01
    49    0.16159E+04    0.15827E+00    0.41068E-01   -0.13674E+01
    50    0.16310E+04    0.16700E+00    0.42101E-01   -0.15844E+01
    51    0.16462E+04    0.17590E+00    0.43118E-01   -0.18144E+01
    52    0.16618E+04    0.18504E+00    0.44116E-01   -0.20613E+01
    53    0.16774E+04    0.19460E+00    0.45095E-01   -0.23272E+01
    54    0.16928E+04    0.20457E+00    0.46055E-01   -0.26062E+01
    55    0.17084E+04    0.21496E+00    0.46994E-01   -0.28924E+01
    56    0.17243E+04    0.22562E+00    0.47911E-01   -0.31861E+01
    57    0.17405E+04    0.23645E+00    0.48807E-01   -0.34880E+01
    58    0.17570E+04    0.24743E+00    0.49679E-01   -0.37995E+01
    59    0.17736E+04    0.25860E+00    0.50526E-01   -0.41224E+01
    60    0.17904E+04    0.26999E+00    0.51348E-01   -0.44568E+01
    61    0.18077E+04    0.28169E+00    0.52145E-01   -0.48026E+01
    62    0.18248E+04    0.29370E+00    0.52914E-01   -0.51606E+01
    63    0.18421E+04    0.30595E+00    0.53656E-01   -0.55313E+01
    64    0.18598E+04    0.31849E+00    0.54371E-01   -0.59156E+01
    65    0.18775E+04    0.33127E+00    0.55058E-01   -0.63136E+01
    66    0.18956E+04    0.34425E+00    0.55716E-01   -0.67232E+01
    67    0.19138E+04    0.35740E+00    0.56346E-01   -0.71417E+01
    68    0.19326E+04    0.37078E+00    0.56946E-01   -0.75672E+01
    69    0.19515E+04    0.38434E+00    0.57516E-01   -0.79980E+01
    70    0.19708E+04    0.39812E+00    0.58056E-01   -0.84359E+01
    71    0.19903E+04    0.41210E+00    0.58565E-01   -0.88831E+01
    72    0.20100E+04    0.42626E+00    0.59042E-01   -0.93414E+01
    73    0.20299E+04    0.44055E+00    0.59489E-01   -0.98113E+01
    74    0.20500E+04    0.45498E+00    0.59905E-01   -0.10292E+02
    75    0.20705E+04    0.46954E+00    0.60290E-01   -0.10783E+02
    76    0.20913E+04    0.48425E+00    0.60645E-01   -0.11283E+02
    77    0.21125E+04    0.49908E+00    0.60968E-01   -0.11792E+02
    78    0.21340E+04    0.51406E+00    0.61261E-01   -0.12311E+02
    79    0.21559E+04    0.52913E+00    0.61524E-01   -0.12835E+02
    80    0.21781E+04    0.54430E+00    0.61756E-01   -0.13367E+02
    81    0.22005E+04    0.55950E+00    0.61958E-01   -0.13906E+02
    82    0.22233E+04    0.57475E+00    0.62129E-01   -0.14452E+02
    83    0.22463E+04    0.59004E+00    0.62270E-01   -0.15003E+02
    84    0.22697E+04    0.60536E+00    0.62380E-01   -0.15560E+02
    85    0.22933E+04    0.62069E+00    0.62460E-01   -0.16122E+02
    86    0.23171E+04    0.63603E+00    0.62510E-01   -0.16689E+02
    87    0.23414E+04    0.65136E+00    0.62529E-01   -0.17260E+02
    88    0.23658E+04    0.66668E+00    0.62519E-01   -0.17835E+02
    89    0.23906E+04    0.68199E+00    0.62480E-01   -0.18416E+02
    90    0.24157E+04    0.69724E+00    0.62411E-01   -0.19000E+02
    91    0.24411E+04    0.71243E+00    0.62315E-01   -0.19588E+02
    92    0.24668E+04    0.72753E+00    0.62190E-01   -0.20178E+02
    93    0.24928E+04    0.74255E+00    0.62039E-01   -0.20772E+02
    94    0.25190E+04    0.75745E+00    0.61861E-01   -0.21368E+02
    95    0.25456E+04    0.77222E+00    0.61657E-01   -0.21965E+02
    96    0.25722E+04    0.78685E+00    0.61428E-01   -0.22565E+02
    97    0.25994E+04    0.80133E+00    0.61174E-01   -0.23166E+02
    98    0.26268E+04    0.81566E+00    0.60897E-01   -0.23765E+02
    99    0.26544E+04    0.82978E+00    0.60597E-01   -0.24367E+02
   100    0.26824E+04    0.84371E+00    0.60275E-01   -0.24966E+02
   101    0.27106E+04    0.85750E+00    0.59930E-01   -0.25565E+02
   102    0.27394E+04    0.87101E+00    0.59565E-01   -0.26163E+02
   103    0.27682E+04    0.88431E+00    0.59179E-01   -0.26760E+02
   104    0.27973E+04    0.89740E+00    0.58773E-01   -0.27354E+02
   105    0.28266E+04    0.91021E+00    0.58349E-01   -0.27945E+02
   106    0.28562E+04    0.92281E+00    0.57906E-01   -0.28533E+02
   107    0.28858E+04    0.93505E+00    0.57445E-01   -0.29117E+02
   108    0.29159E+04    0.94701E+00    0.56967E-01   -0.29697E+02
   109    0.29461E+04    0.95862E+00    0.56473E-01   -0.30273E+02
   110    0.29766E+04    0.96987E+00    0.55963E-01   -0.30842E+02
   111    0.30072E+04    0.98084E+00    0.55438E-01   -0.31406E+02
   112    0.30381E+04    0.99146E+00    0.54899E-01   -0.31965E+02
   113    0.30693E+04    0.10017E+01    0.54347E-01   -0.32516E+02
   114    0.31007E+04    0.10116E+01    0.53782E-01   -0.33060E+02
   115    0.31323E+04    0.10211E+01    0.53205E-01   -0.33596E+02
   116    0.31640E+04    0.10302E+01    0.52617E-01   -0.34124E+02
   117    0.31961E+04    0.10389E+01    0.52019E-01   -0.34642E+02
   118    0.32283E+04    0.10472E+01    0.51412E-01   -0.35152E+02
   119    0.32606E+04    0.10552E+01    0.50796E-01   -0.35651E+02
   120    0.32932E+04    0.10626E+01    0.50173E-01   -0.36139E+02
   121    0.33258E+04    0.10697E+01    0.49542E-01   -0.36616E+02
   122    0.33585E+04    0.10763E+01    0.48906E-01   -0.37082E+02
   123    0.33913E+04    0.10824E+01    0.48264E-01   -0.37536E+02
   124    0.34243E+04    0.10881E+01    0.47618E-01   -0.37976E+02
   125    0.34573E+04    0.10933E+01    0.46968E-01   -0.38404E+02
   126    0.34904E+04    0.10981E+01    0.46316E-01   -0.38818E+02
   127    0.35235E+04    0.11023E+01    0.45661E-01   -0.39219E+02
   128    0.35567E+04    0.11061E+01    0.45005E-01   -0.39606E+02
   129    0.35900E+04    0.11094E+01    0.44349E-01   -0.39977E+02
   130    0.36233E+04    0.11121E+01    0.43693E-01   -0.40332E+02
   131    0.36567E+04    0.11145E+01    0.43039E-01   -0.40673E+02
   132    0.36902E+04    0.11163E+01    0.42386E-01   -0.40996E+02
   133    0.37236E+04    0.11176E+01    0.41735E-01   -0.41305E+02
   134    0.37570E+04    0.11184E+01    0.41088E-01   -0.41594E+02
   135    0.37905E+04    0.11188E+01    0.40443E-01   -0.41866E+02
   136    0.38238E+04    0.11186E+01    0.39803E-01   -0.42119E+02
   137    0.38572E+04    0.11179E+01    0.39167E-01   -0.42353E+02
   138    0.38905E+04    0.11167E+01    0.38536E-01   -0.42568E+02
   139    0.39236E+04    0.11151E+01    0.37911E-01   -0.42764E+02
   140    0.39569E+04    0.11130E+01    0.37291E-01   -0.42940E+02
   141    0.39899E+04    0.11103E+01    0.36678E-01   -0.43095E+02
   142    0.40229E+04    0.11072E+01    0.36073E-01   -0.43229E+02
   143    0.40559E+04    0.11037E+01    0.35474E-01   -0.43343E+02
   144    0.40887E+04    0.10996E+01    0.34884E-01   -0.43436E+02
   145    0.41214E+04    0.10952E+01    0.34303E-01   -0.43507E+02
   146    0.41542E+04    0.10903E+01    0.33731E-01   -0.43556E+02
   147    0.41866E+04    0.10850E+01    0.33168E-01   -0.43582E+02
   148    0.42189E+04    0.10792E+01    0.32616E-01   -0.43587E+02
   149    0.42511E+04    0.10729E+01    0.32075E-01   -0.43568E+02
   150    0.42831E+04    0.10664E+01    0.31545E-01   -0.43525E+02
   151    0.43149E+04    0.10594E+01    0.31026E-01   -0.43459E+02
   152    0.43464E+04    0.10520E+01    0.30520E-01   -0.43369E+02
   153    0.43779E+04    0.10442E+01    0.30026E-01   -0.43254E+02
   154    0.44091E+04    0.10361E+01    0.29544E-01   -0.43115E+02
   155    0.44401E+04    0.10277E+01    0.29074E-01   -0.42951E+02
   156    0.44707E+04    0.10190E+01    0.28617E-01   -0.42763E+02
   157    0.45012E+04    0.10100E+01    0.28172E-01   -0.42550E+02
   158    0.45315E+04    0.10007E+01    0.27740E-01   -0.42311E+02
   159    0.45614E+04    0.99103E+00    0.27321E-01   -0.42047E+02
   160    0.45912E+04    0.98114E+00    0.26915E-01   -0.41757E+02
   161    0.46207E+04    0.97111E+00    0.26521E-01   -0.41441E+02
   162    0.46499E+04    0.96078E+00    0.26141E-01   -0.41101E+02
   163    0.46789E+04    0.95023E+00    0.25775E-01   -0.40734E+02
   164    0.47075E+04    0.93954E+00    0.25422E-01   -0.40342E+02
   165    0.47359E+04    0.92864E+00    0.25082E-01   -0.39923E+02
   166    0.47640E+04    0.91768E+00    0.24756E-01   -0.39478E+02
   167    0.47918E+04    0.90644E+00    0.24443E-01   -0.39008E+02
   168    0.48192E+04    0.89529E+00    0.24145E-01   -0.38511E+02
   169    0.48462E+04    0.88395E+00    0.23861E-01   -0.37986E+02
   170    0.48729E+04    0.87263E+00    0.23590E-01   -0.37436E+02
   171    0.48992E+04    0.86135E+00    0.23334E-01   -0.36859E+02
   172    0.49250E+04    0.85002E+00    0.23092E-01   -0.36254E+02
   173    0.49504E+04    0.83865E+00    0.22865E-01   -0.35624E+02
   174    0.49754E+04    0.82755E+00    0.22653E-01   -0.34966E+02
   175    0.50000E+04    0.81642E+00    0.22455E-01   -0.34282E+02
   176    0.50240E+04    0.80548E+00    0.22271E-01   -0.33571E+02
   177    0.50476E+04    0.79467E+00    0.22103E-01   -0.32834E+02
   178    0.50707E+04    0.78421E+00    0.21948E-01   -0.32070E+02
   179    0.50933E+04    0.77380E+00    0.21807E-01   -0.31279E+02
   180    0.51156E+04    0.76368E+00    0.21680E-01   -0.30463E+02
   181    0.51373E+04    0.75384E+00    0.21566E-01   -0.29621E+02
   182    0.51586E+04    0.74437E+00    0.21465E-01   -0.28752E+02
   183    0.51792E+04    0.73518E+00    0.21376E-01   -0.27858E+02
   184    0.51995E+04    0.72637E+00    0.21300E-01   -0.26938E+02
   185    0.52192E+04    0.71807E+00    0.21235E-01   -0.25994E+02
   186    0.52381E+04    0.71016E+00    0.21182E-01   -0.25024E+02
   187    0.52568E+04    0.70277E+00    0.21140E-01   -0.24028E+02
   188    0.52749E+04    0.69590E+00    0.21110E-01   -0.23009E+02
   189    0.52924E+04    0.68958E+00    0.21089E-01   -0.21965E+02
   190    0.53097E+04    0.68388E+00    0.21080E-01   -0.20898E+02
   191    0.53261E+04    0.67880E+00    0.21080E-01   -0.19805E+02
   192    0.53421E+04    0.67439E+00    0.21089E-01   -0.18688E+02
   193    0.53574E+04    0.67069E+00    0.21108E-01   -0.17550E+02
   194    0.53723E+04    0.66772E+00    0.21136E-01   -0.16388E+02
   195    0.53865E+04    0.66554E+00    0.21173E-01   -0.15203E+02
   196    0.54001E+04    0.66418E+00    0.21218E-01   -0.13996E+02
   197    0.54133E+04    0.66368E+00    0.21271E-01   -0.12769E+02
   198    0.54258E+04    0.66408E+00    0.21332E-01   -0.11519E+02
   199    0.54379E+04    0.66542E+00    0.21400E-01   -0.10248E+02
   200    0.54493E+04    0.66772E+00    0.21475E-01   -0.89577E+01
   201    0.54601E+04    0.67104E+00    0.21556E-01   -0.76461E+01
   202    0.54704E+04    0.67540E+00    0.21645E-01   -0.63152E+01
   203    0.54800E+04    0.68085E+00    0.21739E-01   -0.49642E+01
   204    0.54889E+04    0.68741E+00    0.21840E-01   -0.35963E+01
   205    0.54972E+04    0.69513E+00    0.21946E-01   -0.22091E+01
   206    0.55049E+04    0.70402E+00    0.22058E-01   -0.80402E+00
   207    0.55120E+04    0.71413E+00    0.22175E-01    0.61846E+00
   208    0.55183E+04    0.72549E+00    0.22297E-01    0.20578E+01
   209    0.55239E+04    0.73812E+00    0.22424E-01    0.35135E+01
   210    0.55290E+04    0.75207E+00    0.22555E-01    0.49848E+01
   211    0.55334E+04    0.76738E+00    0.22691E-01    0.64714E+01
   212    0.55371E+04    0.78407E+00    0.22831E-01    0.79725E+01
   213    0.55402E+04    0.80217E+00    0.22975E-01    0.94879E+01
   214    0.55426E+04    0.82168E+00    0.23122E-01    0.11017E+02
   215    0.55443E+04    0.84279E+00    0.23273E-01    0.12558E+02
   216    0.55454E+04    0.86531E+00    0.23427E-01    0.14111E+02
   217    0.55460E+04    0.88940E+00    0.23584E-01    0.15676E+02
   218    0.55458E+04    0.91505E+00    0.23744E-01    0.17252E+02
   219    0.55450E+04    0.94225E+00    0.23906E-01    0.18839E+02
   220    0.55436E+04    0.97116E+00    0.24071E-01    0.20434E+02
   221    0.55416E+04    0.10017E+01    0.24237E-01    0.22039E+02
   222    0.55390E+04    0.10340E+01    0.24405E-01    0.23652E+02
   223    0.55356E+04    0.10680E+01    0.24575E-01    0.25273E+02
   224    0.55318E+04    0.11037E+01    0.24746E-01    0.26899E+02
   225    0.55272E+04    0.11412E+01    0.24918E-01    0.28534E+02
   226    0.55221E+04    0.11806E+01    0.25090E-01    0.30172E+02
   227    0.55162E+04    0.12218E+01    0.25264E-01    0.31817E+02
   228    0.55099E+04    0.12648E+01    0.25437E-01    0.33465E+02
   229    0.55029E+04    0.13098E+01    0.25611E-01    0.35116E+02
   230    0.54952E+04    0.13566E+01    0.25784E-01    0.36770E+02
   231    0.54869E+04    0.14054E+01    0.25957E-01    0.38427E+02
   232    0.54780E+04    0.14561E+01    0.26130E-01    0.40085E+02
   233    0.54685E+04    0.15089E+01    0.26301E-01    0.41742E+02
   234    0.54583E+04    0.15637E+01    0.26472E-01    0.43399E+02
   235    0.54475E+04    0.16205E+01    0.26641E-01    0.45055E+02
   236    0.54361E+04    0.16793E+01    0.26808E-01    0.46709E+02
   237    0.54240E+04    0.17402E+01    0.26973E-01    0.48361E+02
   238    0.54114E+04    0.18033E+01    0.27137E-01    0.50009E+02
   239    0.53982E+04    0.18684E+01    0.27298E-01    0.51654E+02
   240    0.53843E+04    0.19357E+01    0.27456E-01    0.53293E+02
   241    0.53699E+04    0.20051E+01    0.27612E-01    0.54926E+02
   242    0.53550E+04    0.20766E+01    0.27764E-01    0.56554E+02
   243    0.53394E+04    0.21504E+01    0.27913E-01    0.58174E+02
   244    0.53233E+04    0.22263E+01    0.28059E-01    0.59786E+02
   245    0.53065E+04    0.23045E+01    0.28201E-01    0.61389E+02
   246    0.52893E+04    0.23848E+01    0.28338E-01    0.62983E+02
   247    0.52715E+04    0.24673E+01    0.28472E-01    0.64567E+02
   248    0.52531E+04    0.25524E+01    0.28601E-01    0.66140E+02
   249    0.52343E+04    0.26394E+01    0.28725E-01    0.67701E+02
   250    0.52149E+04    0.27288E+01    0.28844E-01    0.69249E+02
   251    0.51951E+04    0.28204E+01    0.28958E-01    0.70785E+02
   252    0.51746E+04    0.29143E+01    0.29066E-01    0.72307E+02
   253    0.51539E+04    0.30104E+01    0.29170E-01    0.73813E+02
   254    0.51325E+04    0.31088E+01    0.29268E-01    0.75305E+02
   255    0.51106E+04    0.32094E+01    0.29362E-01    0.76781E+02
   256    0.50883E+04    0.33124E+01    0.29451E-01    0.78242E+02
   257    0.50656E+04    0.34174E+01    0.29535E-01    0.79679E+02
   258    0.50423E+04    0.35248E+01    0.29615E-01    0.81106E+02
   259    0.50187E+04    0.36344E+01    0.29691E-01    0.82507E+02
   260    0.49946E+04    0.37462E+01    0.29762E-01    0.83898E+02
   261    0.49701E+04    0.38602E+01    0.29829E-01    0.85256E+02
   262    0.49451E+04    0.39765E+01    0.29891E-01    0.86603E+02
   263    0.49199E+04    0.40949E+01    0.29950E-01    0.87932E+02
   264    0.48942E+04    0.42155E+01    0.30005E-01    0.89236E+02
   265    0.48680E+04    0.43381E+01    0.30056E-01    0.90507E+02
   266    0.48415E+04    0.44631E+01    0.30104E-01    0.91768E+02
   267    0.48145E+04    0.45900E+01    0.30147E-01    0.92996E+02
   268    0.47872E+04    0.47192E+01    0.30188E-01    0.94206E+02
   269    0.47593E+04    0.48504E+01    0.30225E-01    0.95391E+02
   270    0.47313E+04    0.49837E+01    0.30259E-01    0.96551E+02
   271    0.47028E+04    0.51189E+01    0.30290E-01    0.97685E+02
   272    0.46742E+04    0.52563E+01    0.30317E-01    0.98787E+02
   273    0.46452E+04    0.53955E+01    0.30342E-01    0.99872E+02
   274    0.46158E+04    0.55369E+01    0.30364E-01    0.10092E+03
   275    0.45862E+04    0.56799E+01    0.30384E-01    0.10194E+03
   276    0.45563E+04    0.58250E+01    0.30401E-01    0.10293E+03
   277    0.45261E+04    0.59719E+01    0.30415E-01    0.10390E+03
   278    0.44956E+04    0.61207E+01    0.30427E-01    0.10483E+03
   279    0.44649E+04    0.62713E+01    0.30437E-01    0.10573E+03
   280    0.44340E+04    0.64236E+01    0.30445E-01    0.10661E+03
   281    0.44029E+04    0.65777E+01    0.30451E-01    0.10745E+03
   282    0.43714E+04    0.67333E+01    0.30455E-01    0.10826E+03
   283    0.43398E+04    0.68907E+01    0.30458E-01    0.10903E+03
   284    0.43081E+04    0.70497E+01    0.30459E-01    0.10978E+03
   285    0.42761E+04    0.72103E+01    0.30458E-01    0.11049E+03
   286    0.42439E+04    0.73724E+01    0.30456E-01    0.11116E+03
   287    0.42116E+04    0.75360E+01    0.30453E-01    0.11181E+03
   288    0.41791E+04    0.77011E+01    0.30448E-01    0.11242E+03
   289    0.41464E+04    0.78675E+01    0.30443E-01    0.11299E+03
   290    0.41137E+04    0.80352E+01    0.30436E-01    0.11354E+03
   291    0.40808E+04    0.82048E+01    0.30429E-01    0.11404E+03
   292    0.40476E+04    0.83753E+01    0.30421E-01    0.11451E+03
   293    0.40145E+04    0.85462E+01    0.30413E-01    0.11494E+03
   294    0.39812E+04    0.87191E+01    0.30404E-01    0.11534E+03
   295    0.39481E+04    0.88924E+01    0.30395E-01    0.11569E+03
   296    0.39147E+04    0.90677E+01    0.30386E-01    0.11602E+03
   297    0.38812E+04    0.92426E+01    0.30376E-01    0.11631E+03
   298    0.38476E+04    0.94194E+01    0.30367E-01    0.11656E+03
   299    0.38141E+04    0.95974E+01    0.30358E-01    0.11676E+03
   300    0.37805E+04    0.97751E+01    0.30349E-01    0.11693E+03
   301    0.37468E+04    0.99539E+01    0.30341E-01    0.11707E+03
   302    0.37132E+04    0.10133E+02    0.30333E-01    0.11717E+03
   303    0.36796E+04    0.10313E+02    0.30325E-01    0.11723E+03
   304    0.36460E+04    0.10495E+02    0.30318E-01    0.11724E+03
   305    0.36125E+04    0.10676E+02    0.30312E-01    0.11722E+03
   306    0.35789E+04    0.10857E+02    0.30306E-01    0.11717E+03
   307    0.35454E+04    0.11039E+02    0.30301E-01    0.11706E+03
   308    0.35119E+04    0.11223E+02    0.30296E-01    0.11694E+03
   309    0.34786E+04    0.11406E+02    0.30292E-01    0.11676E+03
   310    0.34452E+04    0.11588E+02    0.30288E-01    0.11655E+03
   311    0.34120E+04    0.11772E+02    0.30285E-01    0.11629E+03
   312    0.33789E+04    0.11955E+02    0.30283E-01    0.11601E+03
   313    0.33459E+04    0.12138E+02    0.30282E-01    0.11568E+03
   314    0.33130E+04    0.12322E+02    0.30281E-01    0.11532E+03
   315    0.32802E+04    0.12505E+02    0.30281E-01    0.11491E+03
   316    0.32475E+04    0.12688E+02    0.30282E-01    0.11447E+03
   317    0.32150E+04    0.12869E+02    0.30284E-01    0.11399E+03
   318    0.31826E+04    0.13052E+02    0.30286E-01    0.11347E+03
   319    0.31504E+04    0.13234E+02    0.30289E-01    0.11292E+03
   320    0.31184E+04    0.13415E+02    0.30294E-01    0.11233E+03
   321    0.30866E+04    0.13597E+02    0.30299E-01    0.11170E+03
   322    0.30549E+04    0.13777E+02    0.30305E-01    0.11104E+03
   323    0.30234E+04    0.13956E+02    0.30312E-01    0.11034E+03
   324    0.29921E+04    0.14136E+02    0.30320E-01    0.10959E+03
   325    0.29611E+04    0.14312E+02    0.30330E-01    0.10883E+03
   326    0.29303E+04    0.14489E+02    0.30340E-01    0.10801E+03
   327    0.28996E+04    0.14665E+02    0.30351E-01    0.10716E+03
   328    0.28693E+04    0.14840E+02    0.30364E-01    0.10629E+03
   329    0.28392E+04    0.15013E+02    0.30377E-01    0.10537E+03
   330    0.28093E+04    0.15185E+02    0.30392E-01    0.10441E+03
   331    0.27798E+04    0.15356E+02    0.30409E-01    0.10343E+03
   332    0.27505E+04    0.15526E+02    0.30426E-01    0.10242E+03
   333    0.27214E+04    0.15695E+02    0.30445E-01    0.10137E+03
   334    0.26927E+04    0.15862E+02    0.30465E-01    0.10029E+03
   335    0.26642E+04    0.16026E+02    0.30487E-01    0.99175E+02
   336    0.26360E+04    0.16190E+02    0.30509E-01    0.98030E+02
   337    0.26081E+04    0.16352E+02    0.30534E-01    0.96842E+02
   338    0.25806E+04    0.16511E+02    0.30560E-01    0.95635E+02
   339    0.25534E+04    0.16670E+02    0.30587E-01    0.94393E+02
   340    0.25265E+04    0.16826E+02    0.30616E-01    0.93130E+02
   341    0.24999E+04    0.16980E+02    0.30647E-01    0.91826E+02
   342    0.24737E+04    0.17133E+02    0.30679E-01    0.90495E+02
   343    0.24478E+04    0.17283E+02    0.30713E-01    0.89136E+02
   344    0.24224E+04    0.17430E+02    0.30749E-01    0.87751E+02
   345    0.23972E+04    0.17575E+02    0.30787E-01    0.86338E+02
   346    0.23724E+04    0.17719E+02    0.30826E-01    0.84907E+02
   347    0.23479E+04    0.17859E+02    0.30867E-01    0.83441E+02
   348    0.23239E+04    0.17997E+02    0.30910E-01    0.81949E+02
   349    0.23002E+04    0.18133E+02    0.30955E-01    0.80430E+02
   350    0.22769E+04    0.18265E+02    0.31002E-01    0.78893E+02
   351    0.22542E+04    0.18395E+02    0.31051E-01    0.77329E+02
   352    0.22316E+04    0.18523E+02    0.31102E-01    0.75740E+02
   353    0.22096E+04    0.18647E+02    0.31155E-01    0.74139E+02
   354    0.21878E+04    0.18768E+02    0.31210E-01    0.72504E+02
   355    0.21666E+04    0.18887E+02    0.31267E-01    0.70851E+02
   356    0.21457E+04    0.19003E+02    0.31325E-01    0.69187E+02
   357    0.21253E+04    0.19116E+02    0.31385E-01    0.67497E+02
   358    0.21053E+04    0.19224E+02    0.31447E-01    0.65796E+02
   359    0.20857E+04    0.19330E+02    0.31510E-01    0.64069E+02
   360    0.20665E+04    0.19433E+02    0.31575E-01    0.62328E+02
   361    0.20477E+04    0.19534E+02    0.31641E-01    0.60568E+02
   362    0.20294E+04    0.19630E+02    0.31709E-01    0.58792E+02
   363    0.20115E+04    0.19724E+02    0.31778E-01    0.57002E+02
   364    0.19941E+04    0.19814E+02    0.31848E-01    0.55195E+02
   365    0.19770E+04    0.19901E+02    0.31920E-01    0.53377E+02
   366    0.19605E+04    0.19984E+02    0.31992E-01    0.51544E+02
   367    0.19443E+04    0.20063E+02    0.32066E-01    0.49700E+02
   368    0.19285E+04    0.20139E+02    0.32141E-01    0.47845E+02
   369    0.19134E+04    0.20212E+02    0.32217E-01    0.45978E+02
   370    0.18986E+04    0.20281E+02    0.32294E-01    0.44103E+02
   371    0.18841E+04    0.20347E+02    0.32372E-01    0.42218E+02
   372    0.18702E+04    0.20408E+02    0.32450E-01    0.40325E+02
   373    0.18567E+04    0.20467E+02    0.32529E-01    0.38424E+02
   374    0.18436E+04    0.20521E+02    0.32609E-01    0.36517E+02
   375    0.18310E+04    0.20572E+02    0.32690E-01    0.34604E+02
   376    0.18189E+04    0.20620E+02    0.32771E-01    0.32686E+02
   377    0.18072E+04    0.20663E+02    0.32853E-01    0.30766E+02
   378    0.17959E+04    0.20703E+02    0.32936E-01    0.28840E+02
   379    0.17850E+04    0.20739E+02    0.33018E-01    0.26913E+02
   380    0.17747E+04    0.20772E+02    0.33101E-01    0.24983E+02
   381    0.17648E+04    0.20798E+02    0.33185E-01    0.23053E+02
   382    0.17552E+04    0.20823E+02    0.33268E-01    0.21124E+02
   383    0.17461E+04    0.20843E+02    0.33352E-01    0.19194E+02
   384    0.17376E+04    0.20859E+02    0.33436E-01    0.17267E+02
   385    0.17294E+04    0.20873E+02    0.33520E-01    0.15342E+02
   386    0.17216E+04    0.20881E+02    0.33603E-01    0.13421E+02
   387    0.17143E+04    0.20886E+02    0.33687E-01    0.11504E+02
   388    0.17074E+04    0.20887E+02    0.33771E-01    0.95920E+01
   389    0.17009E+04    0.20881E+02    0.33854E-01    0.76859E+01
   390    0.16949E+04    0.20875E+02    0.33937E-01    0.57876E+01
   391    0.16893E+04    0.20864E+02    0.34020E-01    0.38957E+01
   392    0.16840E+04    0.20851E+02    0.34102E-01    0.20133E+01
   393    0.16793E+04    0.20832E+02    0.34184E-01    0.13953E+00
   394    0.16750E+04    0.20810E+02    0.34266E-01   -0.17232E+01
   395    0.16710E+04    0.20783E+02    0.34347E-01   -0.35763E+01
